Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
bat_resnext26ts.ch_in1k,256,78.28,84.696,66.25,25.501,8.92,93.32,37.107,93.12,https://huggingface.co/timm/bat_resnext26ts.ch_in1k
beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,89.425,75.7,46.258,50.747,97.06,60.163,96.66,https://huggingface.co/timm/beit_base_patch16_224.in22k_ft_in22k_in1k
beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816,90.407,77.77,48.69,66.987,97.83,63.403,97.34,https://huggingface.co/timm/beit_base_patch16_384.in22k_ft_in22k_in1k
beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,90.159,79.36,54.973,69.053,98.17,71.033,97.5,https://huggingface.co/timm/beit_large_patch16_224.in22k_ft_in22k_in1k
beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,90.599,80.27,56.979,80.173,98.5,73.187,97.82,https://huggingface.co/timm/beit_large_patch16_384.in22k_ft_in22k_in1k
beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,90.715,80.82,56.796,82.96,98.56,73.047,97.77,https://huggingface.co/timm/beit_large_patch16_512.in22k_ft_in22k_in1k
beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,89.271,76.46,45.998,53.64,97.17,61.487,96.77,https://huggingface.co/timm/beitv2_base_patch16_224.in1k_ft_in1k
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,89.758,77.27,49.512,61.48,97.7,65.74,96.96,https://huggingface.co/timm/beitv2_base_patch16_224.in1k_ft_in22k_in1k
beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,90.112,78.6,54.169,67.627,97.92,70.437,97.29,https://huggingface.co/timm/beitv2_large_patch16_224.in1k_ft_in1k
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,90.362,80.41,58.374,76.6,98.55,76.303,97.76,https://huggingface.co/timm/beitv2_large_patch16_224.in1k_ft_in22k_in1k
botnet26t_256.c1_in1k,256,79.256,85.319,67.19,25.436,11.507,93.52,36.98,93.41,https://huggingface.co/timm/botnet26t_256.c1_in1k
caformer_b36.sail_in1k,224,85.502,89.406,75.69,42.469,48.627,97.0,53.927,96.54,https://huggingface.co/timm/caformer_b36.sail_in1k
caformer_b36.sail_in1k_384,384,86.404,90.068,77.48,42.443,62.093,97.51,55.04,97.16,https://huggingface.co/timm/caformer_b36.sail_in1k_384
caformer_b36.sail_in22k_ft_in1k,224,87.44,90.437,78.92,52.782,69.453,98.17,68.323,97.38,https://huggingface.co/timm/caformer_b36.sail_in22k_ft_in1k
caformer_b36.sail_in22k_ft_in1k_384,384,88.066,90.804,80.14,54.446,79.587,98.44,70.433,97.65,https://huggingface.co/timm/caformer_b36.sail_in22k_ft_in1k_384
caformer_m36.sail_in1k,224,85.24,88.998,75.56,39.618,45.773,96.89,51.673,96.4,https://huggingface.co/timm/caformer_m36.sail_in1k
caformer_m36.sail_in1k_384,384,86.16,89.944,77.24,41.486,60.347,97.45,54.947,97.02,https://huggingface.co/timm/caformer_m36.sail_in1k_384
caformer_m36.sail_in22k_ft_in1k,224,86.608,89.863,77.87,49.708,60.973,97.84,63.367,97.03,https://huggingface.co/timm/caformer_m36.sail_in22k_ft_in1k
caformer_m36.sail_in22k_ft_in1k_384,384,87.472,90.475,79.12,51.041,73.92,98.15,65.35,97.36,https://huggingface.co/timm/caformer_m36.sail_in22k_ft_in1k_384
caformer_s18.sail_in1k,224,83.668,88.165,72.97,36.619,33.613,96.19,48.733,95.73,https://huggingface.co/timm/caformer_s18.sail_in1k
caformer_s18.sail_in1k_384,384,85.036,89.348,75.23,37.678,48.907,97.07,51.303,96.45,https://huggingface.co/timm/caformer_s18.sail_in1k_384
caformer_s18.sail_in22k_ft_in1k,224,84.086,88.964,74.44,41.205,43.333,96.71,54.117,96.03,https://huggingface.co/timm/caformer_s18.sail_in22k_ft_in1k
caformer_s18.sail_in22k_ft_in1k_384,384,85.424,89.739,76.09,42.019,58.413,97.44,55.857,96.52,https://huggingface.co/timm/caformer_s18.sail_in22k_ft_in1k_384
caformer_s36.sail_in1k,224,84.544,88.75,74.62,39.531,41.08,96.73,51.66,96.09,https://huggingface.co/timm/caformer_s36.sail_in1k
caformer_s36.sail_in1k_384,384,85.756,89.694,76.36,41.763,57.107,97.4,54.54,96.88,https://huggingface.co/timm/caformer_s36.sail_in1k_384
caformer_s36.sail_in22k_ft_in1k,224,85.788,89.741,76.74,46.708,55.547,97.61,60.697,96.83,https://huggingface.co/timm/caformer_s36.sail_in22k_ft_in1k
caformer_s36.sail_in22k_ft_in1k_384,384,86.864,90.315,78.37,48.472,70.747,98.0,63.047,97.28,https://huggingface.co/timm/caformer_s36.sail_in22k_ft_in1k_384
cait_m36_384.fb_dist_in1k,384,86.064,90.055,76.37,42.396,57.667,97.4,57.407,96.82,https://huggingface.co/timm/cait_m36_384.fb_dist_in1k
cait_m48_448.fb_dist_in1k,448,86.482,90.181,76.84,44.247,62.08,97.49,57.43,96.89,https://huggingface.co/timm/cait_m48_448.fb_dist_in1k
cait_s24_224.fb_dist_in1k,224,83.484,88.445,73.01,37.153,31.187,96.4,50.25,95.65,https://huggingface.co/timm/cait_s24_224.fb_dist_in1k
cait_s24_384.fb_dist_in1k,384,85.042,89.51,75.38,37.916,49.427,97.07,51.727,96.58,https://huggingface.co/timm/cait_s24_384.fb_dist_in1k
cait_s36_384.fb_dist_in1k,384,85.458,89.831,76.01,39.769,54.213,97.35,53.52,96.64,https://huggingface.co/timm/cait_s36_384.fb_dist_in1k
cait_xs24_384.fb_dist_in1k,384,84.064,89.16,74.13,36.413,43.64,96.57,49.503,96.01,https://huggingface.co/timm/cait_xs24_384.fb_dist_in1k
cait_xxs24_224.fb_dist_in1k,224,78.392,85.257,67.29,29.309,14.88,93.58,41.43,93.5,https://huggingface.co/timm/cait_xxs24_224.fb_dist_in1k
cait_xxs24_384.fb_dist_in1k,384,80.962,87.412,70.56,29.393,29.72,95.26,42.16,94.98,https://huggingface.co/timm/cait_xxs24_384.fb_dist_in1k
cait_xxs36_224.fb_dist_in1k,224,79.738,86.34,68.36,31.28,18.08,94.24,43.803,93.94,https://huggingface.co/timm/cait_xxs36_224.fb_dist_in1k
cait_xxs36_384.fb_dist_in1k,384,82.208,88.174,72.13,32.549,36.093,95.87,44.767,95.25,https://huggingface.co/timm/cait_xxs36_384.fb_dist_in1k
coat_lite_medium.in1k,224,83.602,88.15,73.48,37.896,38.44,96.47,49.977,96.0,https://huggingface.co/timm/coat_lite_medium.in1k
coat_lite_medium_384.in1k,384,84.894,89.214,75.21,39.183,48.84,97.15,51.407,96.62,https://huggingface.co/timm/coat_lite_medium_384.in1k
coat_lite_mini.in1k,224,79.096,85.266,67.74,29.403,14.4,94.05,40.3,93.52,https://huggingface.co/timm/coat_lite_mini.in1k
coat_lite_small.in1k,224,82.302,87.358,71.03,32.127,27.667,95.56,43.803,95.1,https://huggingface.co/timm/coat_lite_small.in1k
coat_lite_tiny.in1k,224,77.548,84.465,66.24,26.554,12.253,93.26,38.077,92.88,https://huggingface.co/timm/coat_lite_tiny.in1k
coat_mini.in1k,224,81.304,86.816,70.51,31.209,25.72,95.0,40.323,94.75,https://huggingface.co/timm/coat_mini.in1k
coat_small.in1k,224,82.376,87.664,72.0,35.515,34.147,95.92,46.93,95.21,https://huggingface.co/timm/coat_small.in1k
coat_tiny.in1k,224,78.442,84.971,67.22,25.866,15.467,93.58,36.097,93.5,https://huggingface.co/timm/coat_tiny.in1k
coatnet_0_rw_224.sw_in1k,224,82.394,87.153,71.35,31.284,26.973,95.46,42.807,94.93,https://huggingface.co/timm/coatnet_0_rw_224.sw_in1k
coatnet_1_rw_224.sw_in1k,224,83.612,87.948,72.68,34.864,35.693,96.03,46.417,95.62,https://huggingface.co/timm/coatnet_1_rw_224.sw_in1k
coatnet_2_rw_224.sw_in12k_ft_in1k,224,86.58,89.822,77.1,48.763,60.16,97.53,61.2,97.0,https://huggingface.co/timm/coatnet_2_rw_224.sw_in12k_ft_in1k
coatnet_bn_0_rw_224.sw_in1k,224,82.394,87.484,71.59,31.883,27.013,95.7,44.81,94.98,https://huggingface.co/timm/coatnet_bn_0_rw_224.sw_in1k
coatnet_nano_rw_224.sw_in1k,224,81.704,87.006,70.74,31.103,23.72,95.24,43.07,95.03,https://huggingface.co/timm/coatnet_nano_rw_224.sw_in1k
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,224,84.94,88.857,74.89,41.5,45.133,96.67,52.783,96.16,https://huggingface.co/timm/coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k
coatnet_rmlp_1_rw_224.sw_in1k,224,83.354,87.875,72.84,34.809,33.653,95.95,47.41,95.51,https://huggingface.co/timm/coatnet_rmlp_1_rw_224.sw_in1k
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,86.54,89.777,77.41,49.349,60.693,97.64,62.353,97.19,https://huggingface.co/timm/coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k
coatnet_rmlp_2_rw_224.sw_in1k,224,84.602,88.516,74.21,38.869,42.547,96.53,50.55,96.24,https://huggingface.co/timm/coatnet_rmlp_2_rw_224.sw_in1k
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,87.402,90.392,78.48,52.4,71.187,98.07,66.52,97.37,https://huggingface.co/timm/coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k
coatnet_rmlp_nano_rw_224.sw_in1k,224,82.062,87.277,70.87,31.553,26.08,95.44,43.347,95.06,https://huggingface.co/timm/coatnet_rmlp_nano_rw_224.sw_in1k
coatnext_nano_rw_224.sw_in1k,224,81.998,87.273,70.87,32.093,25.907,95.41,43.847,94.86,https://huggingface.co/timm/coatnext_nano_rw_224.sw_in1k
convformer_b36.sail_in1k,224,84.83,88.857,74.84,39.547,40.28,96.91,51.11,96.25,https://huggingface.co/timm/convformer_b36.sail_in1k
convformer_b36.sail_in1k_384,384,85.778,89.677,76.25,38.944,55.467,97.54,52.207,96.87,https://huggingface.co/timm/convformer_b36.sail_in1k_384
convformer_b36.sail_in22k_ft_in1k,224,86.984,90.247,78.15,52.73,63.373,97.95,65.273,97.23,https://huggingface.co/timm/convformer_b36.sail_in22k_ft_in1k
convformer_b36.sail_in22k_ft_in1k_384,384,87.602,90.488,79.23,52.895,73.653,98.26,66.463,97.45,https://huggingface.co/timm/convformer_b36.sail_in22k_ft_in1k_384
convformer_m36.sail_in1k,224,84.486,88.77,74.39,39.242,37.92,96.69,51.003,96.08,https://huggingface.co/timm/convformer_m36.sail_in1k
convformer_m36.sail_in1k_384,384,85.58,89.72,76.41,38.553,53.613,97.4,52.167,96.77,https://huggingface.co/timm/convformer_m36.sail_in1k_384
convformer_m36.sail_in22k_ft_in1k,224,86.152,89.826,77.47,49.062,56.253,97.59,60.91,97.07,https://huggingface.co/timm/convformer_m36.sail_in22k_ft_in1k
convformer_m36.sail_in22k_ft_in1k_384,384,86.868,90.251,78.24,49.129,68.547,98.02,61.773,97.36,https://huggingface.co/timm/convformer_m36.sail_in22k_ft_in1k_384
convformer_s18.sail_in1k,224,82.968,87.839,72.43,35.255,25.387,95.95,48.74,95.33,https://huggingface.co/timm/convformer_s18.sail_in1k
convformer_s18.sail_in1k_384,384,84.394,89.122,74.77,36.218,42.187,97.04,50.67,96.25,https://huggingface.co/timm/convformer_s18.sail_in1k_384
convformer_s18.sail_in22k_ft_in1k,224,83.762,88.744,73.39,40.309,33.44,96.61,53.393,96.1,https://huggingface.co/timm/convformer_s18.sail_in22k_ft_in1k
convformer_s18.sail_in22k_ft_in1k_384,384,85.026,89.585,75.05,41.559,50.16,97.28,54.987,96.79,https://huggingface.co/timm/convformer_s18.sail_in22k_ft_in1k_384
convformer_s36.sail_in1k,224,84.072,88.498,74.09,38.401,33.213,96.58,50.793,96.12,https://huggingface.co/timm/convformer_s36.sail_in1k
convformer_s36.sail_in1k_384,384,85.38,89.478,75.94,37.814,50.08,97.28,51.89,96.7,https://huggingface.co/timm/convformer_s36.sail_in1k_384
convformer_s36.sail_in22k_ft_in1k,224,85.424,89.513,75.79,46.877,47.307,97.08,58.89,96.55,https://huggingface.co/timm/convformer_s36.sail_in22k_ft_in1k
convformer_s36.sail_in22k_ft_in1k_384,384,86.38,90.046,76.81,47.152,63.027,97.85,59.867,97.06,https://huggingface.co/timm/convformer_s36.sail_in22k_ft_in1k_384
convit_base.fb_in1k,224,82.294,87.205,71.51,35.322,29.387,95.55,48.217,95.12,https://huggingface.co/timm/convit_base.fb_in1k
convit_small.fb_in1k,224,81.414,87.038,70.71,32.956,24.813,95.19,45.25,94.91,https://huggingface.co/timm/convit_small.fb_in1k
convit_tiny.fb_in1k,224,73.126,81.122,61.46,22.264,8.693,90.62,35.093,90.58,https://huggingface.co/timm/convit_tiny.fb_in1k
convmixer_1024_20_ks9_p14.in1k,224,76.944,83.686,65.44,30.067,7.013,92.43,42.26,92.33,https://huggingface.co/timm/convmixer_1024_20_ks9_p14.in1k
convmixer_1536_20.in1k,224,81.37,86.906,71.12,33.445,20.973,95.08,45.683,94.97,https://huggingface.co/timm/convmixer_1536_20.in1k
convmixer_768_32.in1k,224,80.158,86.22,69.48,31.235,15.387,94.5,43.26,94.41,https://huggingface.co/timm/convmixer_768_32.in1k
convnext_atto.d2_in1k,224,75.668,82.966,63.72,24.369,5.12,91.77,36.04,92.22,https://huggingface.co/timm/convnext_atto.d2_in1k
convnext_atto.d2_in1k,288,77.014,84.149,64.98,23.612,7.547,92.77,35.77,92.78,https://huggingface.co/timm/convnext_atto.d2_in1k
convnext_atto_ols.a2_in1k,224,75.902,83.007,64.1,24.159,5.76,91.93,35.507,92.1,https://huggingface.co/timm/convnext_atto_ols.a2_in1k
convnext_atto_ols.a2_in1k,288,77.22,84.209,65.55,23.137,8.4,93.09,35.553,92.95,https://huggingface.co/timm/convnext_atto_ols.a2_in1k
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,86.386,89.807,76.66,59.848,52.507,97.6,73.703,96.8,https://huggingface.co/timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,87.15,90.358,77.63,60.815,58.853,98.05,75.207,97.06,https://huggingface.co/timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384
convnext_base.clip_laion2b_augreg_ft_in1k,256,86.184,89.677,76.42,60.318,48.693,97.27,73.447,96.58,https://huggingface.co/timm/convnext_base.clip_laion2b_augreg_ft_in1k
convnext_base.clip_laiona_augreg_ft_in1k_384,384,86.488,89.997,77.45,59.414,57.173,97.61,75.163,96.86,https://huggingface.co/timm/convnext_base.clip_laiona_augreg_ft_in1k_384
convnext_base.fb_in1k,224,83.834,88.377,73.78,38.24,36.693,96.43,51.25,95.94,https://huggingface.co/timm/convnext_base.fb_in1k
convnext_base.fb_in1k,288,84.466,88.778,74.18,37.315,41.907,96.82,51.03,96.33,https://huggingface.co/timm/convnext_base.fb_in1k
convnext_base.fb_in22k_ft_in1k,224,85.816,89.675,76.16,48.806,54.787,97.5,61.783,96.86,https://huggingface.co/timm/convnext_base.fb_in22k_ft_in1k
convnext_base.fb_in22k_ft_in1k,288,86.298,89.873,76.96,48.954,61.24,97.85,62.243,97.24,https://huggingface.co/timm/convnext_base.fb_in22k_ft_in1k
convnext_base.fb_in22k_ft_in1k_384,384,86.826,90.343,77.79,51.553,63.307,98.1,64.74,97.24,https://huggingface.co/timm/convnext_base.fb_in22k_ft_in1k_384
convnext_femto.d1_in1k,224,77.508,84.119,65.82,26.387,6.787,92.93,38.207,92.88,https://huggingface.co/timm/convnext_femto.d1_in1k
convnext_femto.d1_in1k,288,78.71,85.159,67.17,25.53,11.107,93.92,37.803,93.46,https://huggingface.co/timm/convnext_femto.d1_in1k
convnext_femto_ols.d1_in1k,224,77.844,84.433,66.26,26.186,7.747,93.07,37.54,92.88,https://huggingface.co/timm/convnext_femto_ols.d1_in1k
convnext_femto_ols.d1_in1k,288,78.914,85.247,67.42,25.391,12.24,93.9,37.283,93.39,https://huggingface.co/timm/convnext_femto_ols.d1_in1k
convnext_large.fb_in1k,224,84.298,88.594,74.2,40.111,41.213,96.75,53.407,96.04,https://huggingface.co/timm/convnext_large.fb_in1k
convnext_large.fb_in1k,288,84.862,88.99,74.9,39.466,46.667,97.09,53.143,96.39,https://huggingface.co/timm/convnext_large.fb_in1k
convnext_large.fb_in22k_ft_in1k,224,86.612,89.831,77.56,49.922,60.48,97.85,63.837,97.23,https://huggingface.co/timm/convnext_large.fb_in22k_ft_in1k
convnext_large.fb_in22k_ft_in1k,288,87.014,89.891,78.07,49.942,66.333,98.13,63.94,97.24,https://huggingface.co/timm/convnext_large.fb_in22k_ft_in1k
convnext_large.fb_in22k_ft_in1k_384,384,87.456,90.307,78.7,52.738,67.413,98.26,66.51,97.33,https://huggingface.co/timm/convnext_large.fb_in22k_ft_in1k_384
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,87.336,90.345,78.67,65.071,60.733,97.98,80.99,97.13,https://huggingface.co/timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,87.89,90.668,79.58,66.466,67.267,98.26,84.577,97.39,https://huggingface.co/timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,87.97,90.557,79.49,64.916,69.827,98.28,81.467,97.29,https://huggingface.co/timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,88.334,90.702,79.62,65.745,70.92,98.48,82.273,97.47,https://huggingface.co/timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384
convnext_nano.d1h_in1k,224,80.762,85.926,70.26,31.14,16.293,94.93,43.77,94.31,https://huggingface.co/timm/convnext_nano.d1h_in1k
convnext_nano.d1h_in1k,288,81.474,86.526,70.76,29.702,23.653,95.35,42.58,94.89,https://huggingface.co/timm/convnext_nano.d1h_in1k
convnext_nano.in12k_ft_in1k,224,82.306,87.604,71.67,34.668,24.067,95.71,47.193,95.22,https://huggingface.co/timm/convnext_nano.in12k_ft_in1k
convnext_nano.in12k_ft_in1k,288,82.882,87.864,72.03,33.131,31.293,95.99,45.867,95.39,https://huggingface.co/timm/convnext_nano.in12k_ft_in1k
convnext_nano_ols.d1h_in1k,224,80.906,86.118,69.49,31.068,16.2,94.74,42.693,94.15,https://huggingface.co/timm/convnext_nano_ols.d1h_in1k
convnext_nano_ols.d1h_in1k,288,81.612,86.731,70.33,29.342,23.973,95.11,42.037,94.59,https://huggingface.co/timm/convnext_nano_ols.d1h_in1k
convnext_pico.d1_in1k,224,79.516,85.257,67.99,28.639,11.947,94.06,40.177,93.48,https://huggingface.co/timm/convnext_pico.d1_in1k
convnext_pico.d1_in1k,288,80.43,86.022,68.75,27.381,17.133,94.75,39.433,94.02,https://huggingface.co/timm/convnext_pico.d1_in1k
convnext_pico_ols.d1_in1k,224,79.542,85.294,68.0,29.046,10.693,94.04,40.593,93.72,https://huggingface.co/timm/convnext_pico_ols.d1_in1k
convnext_pico_ols.d1_in1k,288,80.458,86.052,68.85,27.303,16.347,94.64,39.847,94.06,https://huggingface.co/timm/convnext_pico_ols.d1_in1k
convnext_small.fb_in1k,224,83.144,88.052,72.3,37.063,31.373,96.2,49.54,95.61,https://huggingface.co/timm/convnext_small.fb_in1k
convnext_small.fb_in1k,288,83.704,88.413,73.57,36.251,36.787,96.56,49.043,95.99,https://huggingface.co/timm/convnext_small.fb_in1k
convnext_small.fb_in22k_ft_in1k,224,84.582,89.15,74.8,43.611,45.147,96.97,57.303,96.51,https://huggingface.co/timm/convnext_small.fb_in22k_ft_in1k
convnext_small.fb_in22k_ft_in1k,288,85.276,89.344,75.54,43.593,51.547,97.35,57.603,96.87,https://huggingface.co/timm/convnext_small.fb_in22k_ft_in1k
convnext_small.fb_in22k_ft_in1k_384,384,85.754,89.927,76.17,46.886,53.16,97.62,59.927,97.14,https://huggingface.co/timm/convnext_small.fb_in22k_ft_in1k_384
convnext_small.in12k_ft_in1k,224,85.164,88.938,75.32,44.326,47.907,97.21,56.75,96.57,https://huggingface.co/timm/convnext_small.in12k_ft_in1k
convnext_small.in12k_ft_in1k,288,85.324,89.026,74.97,42.681,52.987,97.34,55.643,96.59,https://huggingface.co/timm/convnext_small.in12k_ft_in1k
convnext_small.in12k_ft_in1k_384,384,86.186,89.621,76.35,45.709,60.507,97.8,58.64,96.99,https://huggingface.co/timm/convnext_small.in12k_ft_in1k_384
convnext_tiny.fb_in1k,224,82.066,87.309,70.93,33.825,24.107,95.54,47.133,94.97,https://huggingface.co/timm/convnext_tiny.fb_in1k
convnext_tiny.fb_in1k,288,82.694,87.762,71.87,33.18,29.787,95.78,46.53,95.21,https://huggingface.co/timm/convnext_tiny.fb_in1k
convnext_tiny.fb_in22k_ft_in1k,224,82.888,88.016,72.58,38.458,36.6,96.24,50.963,95.74,https://huggingface.co/timm/convnext_tiny.fb_in22k_ft_in1k
convnext_tiny.fb_in22k_ft_in1k,288,78.95,85.437,67.57,31.643,29.253,94.87,41.353,93.55,https://huggingface.co/timm/convnext_tiny.fb_in22k_ft_in1k
convnext_tiny.fb_in22k_ft_in1k_384,384,84.098,88.864,73.36,39.798,42.013,97.11,52.077,96.16,https://huggingface.co/timm/convnext_tiny.fb_in22k_ft_in1k_384
convnext_tiny.in12k_ft_in1k,224,84.192,88.712,74.12,40.17,38.08,96.74,51.64,96.19,https://huggingface.co/timm/convnext_tiny.in12k_ft_in1k
convnext_tiny.in12k_ft_in1k,288,84.448,88.908,74.46,38.883,47.533,97.1,51.263,96.24,https://huggingface.co/timm/convnext_tiny.in12k_ft_in1k
convnext_tiny.in12k_ft_in1k_384,384,85.154,89.491,74.79,41.091,50.12,97.33,52.89,96.58,https://huggingface.co/timm/convnext_tiny.in12k_ft_in1k_384
convnext_tiny_hnf.a2h_in1k,224,82.23,86.908,71.15,35.302,23.16,95.52,46.957,94.76,https://huggingface.co/timm/convnext_tiny_hnf.a2h_in1k
convnext_tiny_hnf.a2h_in1k,288,82.608,87.162,71.92,32.905,31.96,96.01,45.84,95.27,https://huggingface.co/timm/convnext_tiny_hnf.a2h_in1k
convnext_xlarge.fb_in22k_ft_in1k,224,86.97,89.976,77.88,52.573,63.787,97.92,65.077,97.26,https://huggingface.co/timm/convnext_xlarge.fb_in22k_ft_in1k
convnext_xlarge.fb_in22k_ft_in1k,288,87.374,90.095,78.28,52.21,68.227,98.12,64.767,97.48,https://huggingface.co/timm/convnext_xlarge.fb_in22k_ft_in1k
convnext_xlarge.fb_in22k_ft_in1k_384,384,87.766,90.537,78.81,55.01,71.187,98.42,67.78,97.58,https://huggingface.co/timm/convnext_xlarge.fb_in22k_ft_in1k_384
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,88.622,90.668,80.62,70.062,76.867,98.44,90.617,97.77,https://huggingface.co/timm/convnext_xxlarge.clip_laion2b_soup_ft_in1k
convnextv2_atto.fcmae_ft_in1k,224,76.646,83.191,64.21,26.44,6.773,92.13,37.117,92.19,https://huggingface.co/timm/convnextv2_atto.fcmae_ft_in1k
convnextv2_atto.fcmae_ft_in1k,288,77.79,84.226,65.6,24.878,7.64,92.97,36.0,92.91,https://huggingface.co/timm/convnextv2_atto.fcmae_ft_in1k
convnextv2_base.fcmae_ft_in1k,224,84.888,88.866,74.99,41.272,45.733,96.9,54.527,96.47,https://huggingface.co/timm/convnextv2_base.fcmae_ft_in1k
convnextv2_base.fcmae_ft_in1k,288,85.49,89.431,75.56,39.761,48.613,97.24,53.387,96.5,https://huggingface.co/timm/convnextv2_base.fcmae_ft_in1k
convnextv2_base.fcmae_ft_in22k_in1k,224,86.752,89.837,77.03,50.555,60.52,97.91,64.61,97.16,https://huggingface.co/timm/convnextv2_base.fcmae_ft_in22k_in1k
convnextv2_base.fcmae_ft_in22k_in1k,288,86.998,90.066,77.15,49.17,62.067,98.06,63.157,97.21,https://huggingface.co/timm/convnextv2_base.fcmae_ft_in22k_in1k
convnextv2_base.fcmae_ft_in22k_in1k_384,384,87.638,90.375,77.51,52.905,65.813,98.36,67.003,97.37,https://huggingface.co/timm/convnextv2_base.fcmae_ft_in22k_in1k_384
convnextv2_femto.fcmae_ft_in1k,224,78.484,84.672,65.98,27.635,10.293,93.39,39.4,93.19,https://huggingface.co/timm/convnextv2_femto.fcmae_ft_in1k
convnextv2_femto.fcmae_ft_in1k,288,79.332,85.507,67.12,26.07,11.6,94.2,37.487,93.76,https://huggingface.co/timm/convnextv2_femto.fcmae_ft_in1k
convnextv2_huge.fcmae_ft_in1k,224,86.26,89.88,77.23,48.578,61.867,97.65,63.083,96.94,https://huggingface.co/timm/convnextv2_huge.fcmae_ft_in1k
convnextv2_huge.fcmae_ft_in1k,288,86.618,90.236,78.05,46.882,64.533,97.9,61.26,97.27,https://huggingface.co/timm/convnextv2_huge.fcmae_ft_in1k
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,88.662,90.475,79.73,57.889,79.373,98.67,75.97,97.86,https://huggingface.co/timm/convnextv2_huge.fcmae_ft_in22k_in1k_384
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,88.86,90.527,79.42,57.859,83.36,98.59,75.837,97.81,https://huggingface.co/timm/convnextv2_huge.fcmae_ft_in22k_in1k_512
convnextv2_large.fcmae_ft_in1k,224,85.762,89.547,76.08,45.922,54.68,97.35,59.463,96.85,https://huggingface.co/timm/convnextv2_large.fcmae_ft_in1k
convnextv2_large.fcmae_ft_in1k,288,86.126,89.961,76.65,44.805,57.08,97.66,58.063,96.85,https://huggingface.co/timm/convnextv2_large.fcmae_ft_in1k
convnextv2_large.fcmae_ft_in22k_in1k,224,87.264,89.987,77.21,51.644,65.933,97.93,66.01,97.27,https://huggingface.co/timm/convnextv2_large.fcmae_ft_in22k_in1k
convnextv2_large.fcmae_ft_in22k_in1k,288,87.494,90.006,77.28,50.166,66.88,98.11,64.67,97.34,https://huggingface.co/timm/convnextv2_large.fcmae_ft_in22k_in1k
convnextv2_large.fcmae_ft_in22k_in1k_384,384,88.178,90.352,77.89,53.917,70.213,98.38,68.53,97.65,https://huggingface.co/timm/convnextv2_large.fcmae_ft_in22k_in1k_384
convnextv2_nano.fcmae_ft_in1k,224,81.856,86.891,70.55,33.805,21.547,95.43,45.377,94.91,https://huggingface.co/timm/convnextv2_nano.fcmae_ft_in1k
convnextv2_nano.fcmae_ft_in1k,288,82.496,87.591,71.02,32.809,22.813,95.9,44.103,95.16,https://huggingface.co/timm/convnextv2_nano.fcmae_ft_in1k
convnextv2_nano.fcmae_ft_in22k_in1k,224,82.038,87.424,71.12,35.497,27.147,95.53,47.873,95.38,https://huggingface.co/timm/convnextv2_nano.fcmae_ft_in22k_in1k
convnextv2_nano.fcmae_ft_in22k_in1k,288,82.666,87.738,71.82,34.424,29.733,96.05,46.463,95.38,https://huggingface.co/timm/convnextv2_nano.fcmae_ft_in22k_in1k
convnextv2_nano.fcmae_ft_in22k_in1k_384,384,83.362,88.321,71.52,37.892,32.32,96.35,49.567,95.78,https://huggingface.co/timm/convnextv2_nano.fcmae_ft_in22k_in1k_384
convnextv2_pico.fcmae_ft_in1k,224,80.304,86.011,68.9,31.722,14.627,94.46,43.49,94.1,https://huggingface.co/timm/convnextv2_pico.fcmae_ft_in1k
convnextv2_pico.fcmae_ft_in1k,288,81.056,86.748,69.67,29.867,16.707,95.25,41.503,94.57,https://huggingface.co/timm/convnextv2_pico.fcmae_ft_in1k
