Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,86.908,89.95,77.93,53.78,64.52,97.78,66.353,97.09,https://huggingface.co/timm/maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,87.812,90.569,79.19,56.283,74.867,98.18,68.963,97.32,https://huggingface.co/timm/maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k
maxvit_rmlp_nano_rw_256.sw_in1k,256,82.98,87.708,72.14,31.966,31.0,96.0,44.093,95.43,https://huggingface.co/timm/maxvit_rmlp_nano_rw_256.sw_in1k
maxvit_rmlp_pico_rw_256.sw_in1k,256,80.55,86.508,69.75,29.248,21.16,94.69,40.837,94.26,https://huggingface.co/timm/maxvit_rmlp_pico_rw_256.sw_in1k
maxvit_rmlp_small_rw_224.sw_in1k,224,84.484,88.537,74.46,40.121,42.2,96.56,51.283,95.98,https://huggingface.co/timm/maxvit_rmlp_small_rw_224.sw_in1k
maxvit_rmlp_tiny_rw_256.sw_in1k,256,84.234,88.349,73.62,37.403,40.733,96.42,49.557,96.05,https://huggingface.co/timm/maxvit_rmlp_tiny_rw_256.sw_in1k
maxvit_small_tf_224.in1k,224,84.456,88.466,73.71,39.024,37.693,96.69,51.28,96.27,https://huggingface.co/timm/maxvit_small_tf_224.in1k
maxvit_small_tf_384.in1k,384,85.534,89.126,76.02,40.858,56.72,97.4,54.327,96.74,https://huggingface.co/timm/maxvit_small_tf_384.in1k
maxvit_small_tf_512.in1k,512,86.104,89.442,76.52,42.665,62.84,97.76,56.947,97.18,https://huggingface.co/timm/maxvit_small_tf_512.in1k
maxvit_tiny_rw_224.sw_in1k,224,83.522,87.871,73.59,34.785,35.72,96.24,46.847,95.73,https://huggingface.co/timm/maxvit_tiny_rw_224.sw_in1k
maxvit_tiny_tf_224.in1k,224,83.422,88.024,72.96,37.067,30.88,96.14,48.803,95.83,https://huggingface.co/timm/maxvit_tiny_tf_224.in1k
maxvit_tiny_tf_384.in1k,384,85.102,89.103,74.87,40.05,52.04,97.31,52.607,96.59,https://huggingface.co/timm/maxvit_tiny_tf_384.in1k
maxvit_tiny_tf_512.in1k,512,85.66,89.562,76.18,41.868,58.667,97.58,54.647,96.97,https://huggingface.co/timm/maxvit_tiny_tf_512.in1k
maxvit_xlarge_tf_384.in21k_ft_in1k,384,88.304,90.369,79.61,56.228,80.933,98.5,71.777,97.76,https://huggingface.co/timm/maxvit_xlarge_tf_384.in21k_ft_in1k
maxvit_xlarge_tf_512.in21k_ft_in1k,512,88.54,90.501,79.83,56.161,83.147,98.62,71.903,97.76,https://huggingface.co/timm/maxvit_xlarge_tf_512.in21k_ft_in1k
maxxvit_rmlp_nano_rw_256.sw_in1k,256,83.026,87.815,72.31,33.08,31.333,96.03,44.993,95.36,https://huggingface.co/timm/maxxvit_rmlp_nano_rw_256.sw_in1k
maxxvit_rmlp_small_rw_256.sw_in1k,256,84.64,88.812,74.75,36.692,44.493,96.79,48.997,96.23,https://huggingface.co/timm/maxxvit_rmlp_small_rw_256.sw_in1k
maxxvitv2_nano_rw_256.sw_in1k,256,83.104,87.642,72.12,32.066,30.267,95.89,44.337,95.44,https://huggingface.co/timm/maxxvitv2_nano_rw_256.sw_in1k
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,86.638,89.743,76.89,51.182,59.867,97.75,63.94,97.08,https://huggingface.co/timm/maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,87.478,90.437,78.15,54.79,70.027,98.26,68.01,97.47,https://huggingface.co/timm/maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k
mixer_b16_224.goog_in21k_ft_in1k,224,76.64,82.031,63.21,25.145,8.427,91.86,34.373,91.12,https://huggingface.co/timm/mixer_b16_224.goog_in21k_ft_in1k
