Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,maxvit_xlarge_tf_512.in21k_ft_in1k,512,88.54,,2.0,69.23040350057046,28.89004382978724,3567.3074058875386,True
TBD,TBD,maxxvit_rmlp_nano_rw_256.sw_in1k,256,83.026,,192.0,4410.364358877523,43.535189082568806,56.45161993096234,True
TBD,TBD,maxxvit_rmlp_small_rw_256.sw_in1k,256,84.64,,96.0,1771.849320185255,54.19146833714286,140.66514390377023,True
TBD,TBD,maxxvitv2_nano_rw_256.sw_in1k,256,83.104,,160.0,3658.205939459716,43.73890255760369,68.10283654970189,True
TBD,TBD,maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,86.638,,88.0,1287.544179931488,68.35144779856115,193.32259836955933,True
TBD,TBD,maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,87.478,,24.0,426.5105406699519,56.27208612426036,583.211421431928,True
TBD,TBD,mixer_b16_224.goog_in21k_ft_in1k,224,76.64,,256.0,4450.25237596327,57.53249887349398,55.9082968726826,True
TBD,TBD,mixer_b16_224.miil_in21k_ft_in1k,224,82.31,,240.0,4498.7559004500845,53.36602411797753,55.26852881619872,True
TBD,TBD,mixer_l16_224.goog_in21k_ft_in1k,224,72.09,,88.0,1459.2302828185202,60.3106093821656,170.62694705905182,True
TBD,TBD,mixnet_l.ft_in1k,224,78.97,,352.0,5751.5113265193695,61.20279045806452,43.15705504202127,True
TBD,TBD,mixnet_m.ft_in1k,224,77.274,,464.0,7655.739851294335,60.609775872611465,32.47996676450774,True
TBD,TBD,mixnet_s.ft_in1k,224,76.002,,512.0,11289.864747728803,45.35152622966507,22.043973323904947,True
TBD,TBD,mixnet_xl.ra_in1k,224,80.49,,256.0,4393.918226782606,58.264069926380365,56.12986106938793,True
TBD,TBD,mnasnet_100.rmsp_in1k,224,74.662,,1472.0,30411.10857219282,48.40450756122449,8.137902615143112,True
TBD,TBD,mnasnet_small.lamb_in1k,224,66.196,,3584.0,69099.46667033326,51.868736901639345,3.576639250267125,True
TBD,TBD,mobilenet_edgetpu_v2_m,224,80.118,,1024.0,22148.23838024838,46.237028029268295,11.234574654856997,True
