Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,halonet26t.a1h_in1k,256,79.134,,512.0,8777.475680200287,58.33338399386503,28.070907207980373,True
TBD,TBD,halonet50ts.a1h_in1k,256,81.65,,192.0,3475.5072626224787,55.24564524418605,71.38315007538638,True
TBD,TBD,haloregnetz_b.ra3_in1k,224,81.052,,272.0,5048.932664721745,53.87374275,49.255012777847604,True
TBD,TBD,hardcorenas_a.miil_green_in1k,224,75.926,,832.0,23531.531550365504,35.357533985074625,10.584994857291727,True
TBD,TBD,hardcorenas_b.miil_green_in1k,224,76.552,,800.0,24395.994155674383,32.80283524827586,10.215632749189828,True
TBD,TBD,hardcorenas_c.miil_green_in1k,224,77.094,,640.0,22082.04413825076,28.99267756097561,11.272710250800593,True
TBD,TBD,hardcorenas_d.miil_green_in1k,224,77.45,,704.0,20209.57581608925,34.83617028571428,12.333503606480187,True
TBD,TBD,hardcorenas_e.miil_green_in1k,224,77.79,,608.0,16981.93658103922,35.80416090225564,14.67516404101999,True
TBD,TBD,hardcorenas_f.miil_green_in1k,224,78.108,,608.0,17402.873439530107,34.93748987132353,14.311098537887844,True
TBD,TBD,hgnet_base.ssld_in1k,224,84.912,,256.0,3107.3255737639843,82.38958554782609,79.98286208685428,True
TBD,TBD,hgnet_base.ssld_in1k,288,85.472,,128.0,1892.428499700796,67.64114774285714,131.64482817028122,True
TBD,TBD,hgnet_small.paddle_in1k,224,81.426,,512.0,8351.696629787371,61.30654761290322,29.802442528851433,True
TBD,TBD,hgnet_small.paddle_in1k,288,82.214,,256.0,5010.311730701882,51.097222795698926,47.90454733662467,True
TBD,TBD,hgnet_small.ssld_in1k,224,83.81,,576.0,8198.604776846938,70.25718785925926,30.276449471830503,True
TBD,TBD,hgnet_small.ssld_in1k,288,84.378,,384.0,4954.143435977495,77.51303117073171,50.132626010020324,True
TBD,TBD,hgnet_tiny.paddle_in1k,224,79.888,,512.0,11979.374390878504,42.74347073423424,20.776049043744457,True
TBD,TBD,hgnet_tiny.paddle_in1k,288,80.648,,512.0,7176.41291011885,71.34811007518796,34.68385900021866,True
TBD,TBD,hgnet_tiny.ssld_in1k,224,81.94,,512.0,11804.448668982735,43.377563657534246,21.141564760650688,True
TBD,TBD,hgnet_tiny.ssld_in1k,288,82.524,,256.0,7088.266171816282,36.11944896577947,35.11917183901141,True
TBD,TBD,hgnetv2_b0.ssld_stage1_in22k_in1k,224,76.844,,2048.0,40183.3655057686,50.96900324193549,6.1265135638165225,True
TBD,TBD,hgnetv2_b0.ssld_stage1_in22k_in1k,288,78.034,,2048.0,24292.17377940541,84.31028433035715,10.221928060642918,True
TBD,TBD,hgnetv2_b0.ssld_stage2_ft_in1k,224,77.342,,2048.0,40137.89503144181,51.0259913172043,5.827963914543929,True
TBD,TBD,hgnetv2_b0.ssld_stage2_ft_in1k,288,78.598,,2048.0,24253.72240198279,84.44361777678571,10.234844339084212,True
TBD,TBD,hgnetv2_b1.ssld_stage1_in22k_in1k,224,78.078,,1024.0,29333.8435264736,34.909281518382365,8.486916423586642,True
TBD,TBD,hgnetv2_b1.ssld_stage1_in22k_in1k,288,79.048,,512.0,17797.129421965787,28.77008961515152,13.991896784482659,True
TBD,TBD,hgnetv2_b1.ssld_stage2_ft_in1k,224,78.896,,2048.0,29316.307608754727,69.86054593382353,8.478763418228976,True
TBD,TBD,hgnetv2_b1.ssld_stage2_ft_in1k,288,79.904,,512.0,17801.689481508838,28.762980175226588,13.974635045384725,True
TBD,TBD,hgnetv2_b2.ssld_stage1_in22k_in1k,224,80.746,,3072.0,20066.37236148076,153.09655280645163,11.884744840535848,True
TBD,TBD,hgnetv2_b2.ssld_stage1_in22k_in1k,288,81.46,,1024.0,12315.641496004127,83.15203591228071,20.188425783100243,True
TBD,TBD,hgnetv2_b2.ssld_stage2_ft_in1k,224,81.566,,2048.0,20262.89139023941,101.07757175531917,11.942896994861878,True
TBD,TBD,hgnetv2_b2.ssld_stage2_ft_in1k,288,82.36,,1024.0,12367.835911382985,82.7995275877193,20.1399255247293,True
TBD,TBD,hgnetv2_b3.ssld_stage1_in22k_in1k,224,82.61,,3328.0,16308.751415324228,204.06512304255318,13.318483332321565,True
TBD,TBD,hgnetv2_b3.ssld_stage1_in22k_in1k,288,83.114,,512.0,10071.166881994366,50.84131251075269,24.93004032339392,True
TBD,TBD,hgnetv2_b3.ssld_stage2_ft_in1k,224,82.91,,1024.0,16667.634454822033,61.43960408441559,14.9998944140183,True
