Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,densenet121.ra_in1k,288,76.48,370.0,368.0,1835.9009195053595,200.448126875,161.44393523493773,True
TBD,TBD,densenet121.tv_in1k,224,74.748,610.0,,2989.603349684187,198.6893382708333,99.72928381683712,True
TBD,TBD,densenet161.tv_in1k,224,77.35,330.0,,1460.4836072799235,197.19779902083332,207.03178315551503,True
TBD,TBD,densenet169.tv_in1k,224,75.922,504.0,,2418.1136604778458,204.7062386956522,125.73123279682171,True
TBD,TBD,densenet201.tv_in1k,224,77.284,388.0,,1909.2039946147845,202.7045286956522,161.641599241174,True
TBD,TBD,densenetblur121d.ra_in1k,224,76.572,538.0,,2733.601006114812,193.15396896000001,111.1592828788212,True
TBD,TBD,densenetblur121d.ra_in1k,288,77.31,326.0,128.0,1633.0664622049628,78.38107082644628,157.89657125730372,True
TBD,TBD,dla102.in1k,224,78.018,590.0,,2341.605295013057,245.9908731025641,129.88133345378736,True
TBD,TBD,dla102x.in1k,224,78.5,452.0,,1854.8984492059485,207.0222953913044,164.03415002416725,True
TBD,TBD,dla102x2.in1k,224,79.448,308.0,,1268.209104117556,227.09348235714288,240.76443415707678,True
TBD,TBD,dla169.in1k,224,78.706,398.0,,1585.6830994626234,242.17030915384612,192.35985045767296,True
TBD,TBD,dla34.in1k,224,74.632,1724.0,,6218.82690954172,267.5758073888889,49.09853198142596,True
TBD,TBD,dla46_c.in1k,224,64.88,1968.0,,8132.359095565962,31.576947139534884,37.63645675516702,True
TBD,TBD,dla46x_c.in1k,224,66.008,1608.0,,6761.944588848592,18.9421137764471,45.16805575898406,True
TBD,TBD,dla60.in1k,224,77.046,846.0,,3523.518519915456,181.6389566603773,86.02615275728127,True
TBD,TBD,dla60_res2net.in1k,224,78.48,646.0,,2669.5261514094136,239.746987375,113.67956557213674,True
TBD,TBD,dla60_res2next.in1k,224,78.488,608.0,,2377.524701556725,215.3516361590909,128.10827711551403,True
TBD,TBD,dla60x.in1k,224,78.23,650.0,,2782.739334801022,229.99084248780488,109.53573852236661,True
TBD,TBD,dla60x_c.in1k,224,67.928,1504.0,,6380.1324854260365,234.480432475,48.038188232111466,True
TBD,TBD,dm_nfnet_f0.dm_in1k,192,81.438,840.0,,2354.2761838974525,353.4005304074074,129.01112120975918,True
TBD,TBD,dm_nfnet_f0.dm_in1k,256,83.47,474.0,384.0,1371.4551117027552,279.9955915882353,220.71748808008505,True
TBD,TBD,dm_nfnet_f1.dm_in1k,224,83.444,344.0,,1020.3110396213244,335.192309,297.9027598868633,True
TBD,TBD,dm_nfnet_f1.dm_in1k,320,84.696,168.0,165.0,505.8357143159053,326.19309620689654,607.1391674790156,True
TBD,TBD,dm_nfnet_f2.dm_in1k,256,84.092,182.0,,543.0698552863947,324.0851497,561.3112889609091,True
TBD,TBD,dm_nfnet_f2.dm_in1k,352,85.176,96.0,88.0,287.20831504692575,306.3985257096774,1058.7465435777676,True
TBD,TBD,dm_nfnet_f3.dm_in1k,320,85.096,88.0,,261.45896857131146,336.5735139642857,1166.1704377054502,True
TBD,TBD,dm_nfnet_f3.dm_in1k,416,85.672,52.0,52.0,157.38356202584416,330.4033649655172,1935.012548023164,True
TBD,TBD,dm_nfnet_f4.dm_in1k,384,85.496,48.0,,147.8305389507604,324.6968258275862,2059.2062721467532,True
TBD,TBD,dm_nfnet_f4.dm_in1k,512,85.86,28.0,26.0,83.58556981783325,311.05905651612903,3644.9184784065883,True
TBD,TBD,dm_nfnet_f5.dm_in1k,416,85.716,34.0,,103.14309270985504,329.6397656551724,2956.1280882829415,True
TBD,TBD,dm_nfnet_f5.dm_in1k,544,86.1,20.0,20.0,60.89750445866004,328.4213996206896,5000.298982932758,True
TBD,TBD,dm_nfnet_f6.dm_in1k,448,86.154,26.0,,77.3641937546888,336.0736381785714,3947.2006528536544,True
TBD,TBD,dm_nfnet_f6.dm_in1k,576,86.372,14.0,15.0,47.15790361547016,318.08075410000004,6478.401548501377,True
TBD,TBD,dpn107.mx_in1k,224,80.168,234.0,,818.5791270574038,282.1988827352941,372.0352317333321,True
TBD,TBD,dpn131.mx_in1k,224,79.834,242.0,,799.2667382237149,100.09295147368421,353.87437838976314,True
TBD,TBD,dpn68.mx_in1k,224,76.338,836.0,,3253.831112670651,196.69345057142857,93.34405691211865,True
TBD,TBD,dpn68b.mx_in1k,224,77.542,840.0,,3283.891015659437,233.870290625,92.99384084344433,True
TBD,TBD,dpn68b.ra_in1k,224,78.544,840.0,,3292.799557854595,253.5847428108108,27.970245284881045,True
TBD,TBD,dpn68b.ra_in1k,288,79.344,508.0,480.0,1964.7001621429065,244.31500764102563,154.5935214300139,True
TBD,TBD,dpn92.mx_in1k,224,80.028,472.0,,1568.5760809082967,244.81133438461538,194.15340633041868,True
TBD,TBD,dpn98.mx_in1k,224,79.656,336.0,,1188.1752857337829,281.104205030303,258.08576720782344,True
TBD,TBD,eca_botnext26ts_256.c1_in1k,256,79.272,668.0,,3194.665393998353,200.3362964893617,94.27271834196307,True
TBD,TBD,eca_halonext26ts.c1_in1k,256,79.518,658.0,,3151.974903984416,207.80813047826086,97.00356516975805,True
TBD,TBD,eca_nfnet_l0.ra2_in1k,224,81.764,928.0,,2812.955205591495,318.52909063333334,108.58383643456436,True
TBD,TBD,eca_nfnet_l0.ra2_in1k,288,82.596,562.0,512.0,1720.3167129016133,297.62390896875,176.58623188661866,True
TBD,TBD,eca_nfnet_l1.ra2_in1k,256,83.264,402.0,,1274.4228734769868,301.3152787419355,238.9640563412391,True
TBD,TBD,eca_nfnet_l1.ra2_in1k,320,84.05,258.0,258.0,810.4283455536983,318.3523734,378.9366346591808,True
TBD,TBD,eca_nfnet_l2.ra3_in1k,320,84.156,180.0,,568.8836124033805,316.4130899,537.2375984566962,True
TBD,TBD,eca_nfnet_l2.ra3_in1k,384,84.706,124.0,120.0,397.12763646775903,302.1757837741935,775.1404519212176,True
TBD,TBD,eca_resnet33ts.ra2_in1k,256,80.092,628.0,,3100.9229711587795,185.75284056862745,98.3152211134998,True
TBD,TBD,eca_resnet33ts.ra2_in1k,288,80.716,496.0,384.0,2429.267698888353,158.07362851666667,124.8510281455091,True
TBD,TBD,eca_resnext26ts.ch_in1k,256,77.442,688.0,,3584.353498864148,124.98967894736845,84.78157547758046,True
TBD,TBD,eca_resnext26ts.ch_in1k,288,78.016,544.0,512.0,2823.573399346521,181.33197419230768,106.26825378205,True
TBD,TBD,ecaresnet101d.miil_in1k,224,82.186,476.0,,2043.411877190159,203.5829893829788,148.60771071149807,True
TBD,TBD,ecaresnet101d.miil_in1k,288,82.998,288.0,256.0,1253.368138165643,204.2533640425532,242.77634362037065,True
TBD,TBD,ecaresnet101d_pruned.miil_in1k,224,80.814,1086.0,,4225.943105233177,212.02464802222224,72.12519300559424,True
TBD,TBD,ecaresnet101d_pruned.miil_in1k,288,82.006,656.0,512.0,2637.7153629156624,194.74554844897958,116.52218973747928,True
TBD,TBD,ecaresnet269d.ra2_in1k,320,84.72,92.0,,398.52616686333687,200.74008697916662,757.6646941167083,True
TBD,TBD,ecaresnet269d.ra2_in1k,352,84.972,76.0,76.0,333.0005052242358,228.33784041463412,919.7833012620217,True
TBD,TBD,ecaresnet26t.ra2_in1k,256,78.886,836.0,,3763.051629466935,170.075798,81.00230564921988,True
TBD,TBD,ecaresnet26t.ra2_in1k,320,79.9,532.0,320.0,2410.441295307226,132.75636656944442,126.17657316341318,True
TBD,TBD,ecaresnet50d.miil_in1k,224,80.618,702.0,,3126.791049216916,184.21591355769232,29.5481046069361,True
TBD,TBD,ecaresnet50d.miil_in1k,288,81.64,424.0,384.0,1915.1917080627463,200.50352063829789,158.19819051543664,True
TBD,TBD,ecaresnet50d_pruned.miil_in1k,224,79.722,1310.0,,5079.093163120162,255.95335845945945,60.06578813125074,True
TBD,TBD,ecaresnet50d_pruned.miil_in1k,288,80.808,792.0,768.0,3071.636696406983,250.0316801842105,98.75614919638708,True
TBD,TBD,ecaresnet50t.a1_in1k,224,81.284,706.0,,3117.99651739565,225.7881540952381,97.82625419651784,True
TBD,TBD,ecaresnet50t.a1_in1k,288,82.112,428.0,384.0,1907.4285476595985,201.31910572340422,159.6618558421132,True
TBD,TBD,ecaresnet50t.a2_in1k,224,80.884,706.0,,3122.122372507715,226.13084009523809,97.67794952263861,True
TBD,TBD,ecaresnet50t.a2_in1k,288,81.682,428.0,256.0,1929.204100497087,133.41480932394367,158.80892312049903,True
TBD,TBD,ecaresnet50t.a3_in1k,160,77.78,1388.0,,5549.94285004308,248.65445792307693,54.726394596909884,True
TBD,TBD,ecaresnet50t.a3_in1k,224,79.548,706.0,256.0,3181.186091769563,81.57757076724137,97.46848253560412,True
TBD,TBD,ecaresnet50t.ra2_in1k,256,81.446,542.0,,2463.621391068252,220.0022972790697,122.55541719855661,True
TBD,TBD,ecaresnet50t.ra2_in1k,320,82.37,348.0,340.0,1579.906489456615,215.2040259111111,192.8143247291601,True
TBD,TBD,ecaresnetlight.miil_in1k,224,80.456,1008.0,,4050.320014309353,248.8738932631579,75.23744447715148,True
TBD,TBD,ecaresnetlight.miil_in1k,288,81.416,612.0,576.0,2492.6649424554416,231.0792370487805,122.50121579738564,True
TBD,TBD,edgenext_base.in21k_ft_in1k,256,83.416,640.0,,1868.941772595336,239.73386845,163.17003039504576,True
TBD,TBD,edgenext_base.in21k_ft_in1k,320,84.076,410.0,288.0,1200.1405765391912,239.99240584999998,253.3248067786016,True
TBD,TBD,edgenext_base.usi_in1k,256,83.684,640.0,,1868.80806165892,239.74385,162.20927906766462,True
TBD,TBD,edgenext_base.usi_in1k,320,83.97,410.0,288.0,1200.0043643289034,240.0208712,252.63521136960853,True
TBD,TBD,edgenext_small.usi_in1k,256,81.064,1096.0,,3676.982439699573,104.43924672527473,83.33656717981458,True
TBD,TBD,edgenext_small.usi_in1k,320,81.572,700.0,192.0,2340.8045730520744,82.16906439655173,129.72267465992996,True
TBD,TBD,edgenext_small_rw.sw_in1k,256,79.59,1052.0,,3134.976113418033,81.66536577777778,97.1074892221488,True
TBD,TBD,edgenext_small_rw.sw_in1k,320,80.452,674.0,320.0,2029.0353658202207,157.71584816666666,150.40185703410936,True
TBD,TBD,edgenext_x_small.in1k,256,74.88,1656.0,,4722.510178807084,13.80957536627907,56.07040541110396,True
TBD,TBD,edgenext_x_small.in1k,288,75.706,1308.0,256.0,4247.989867395412,60.26655007643312,70.6480350152508,True
TBD,TBD,edgenext_xx_small.in1k,256,71.116,2878.0,,8015.778151959512,351.3149243333333,34.37459500492924,True
