Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,DONE
TBD,TBD,visformer_tiny.in1k,224,78.16,,1024.0,12418.550282995937,82.46077925217392,24.607373728517747,True
TBD,TBD,vit_base_patch16_224.augreg2_in21k_ft_in1k,224,85.11,,72.0,6123.915708854287,11.757320384900991,49.10809690800296,True
TBD,TBD,vit_base_patch16_224.augreg_in1k,224,79.142,,512.0,6625.995130069236,77.28970213821138,45.94215659401041,True
TBD,TBD,vit_base_patch16_224.augreg_in21k_ft_in1k,224,84.532,,512.0,6530.570993672393,78.4149359338843,46.66809368049652,True
TBD,TBD,vit_base_patch16_224.orig_in21k_ft_in1k,224,81.786,,512.0,6650.943742402624,76.98860603225806,45.78696871678302,True
TBD,TBD,vit_base_patch16_224.sam_in1k,224,80.242,,512.0,6491.425884946771,78.89257378512397,46.998461420261485,True
TBD,TBD,vit_base_patch16_224_miil.in21k_ft_in1k,224,84.272,,256.0,7078.327234733132,36.16759100381679,42.67533007125328,True
TBD,TBD,vit_base_patch16_384.augreg_in1k,384,81.096,,160.0,2086.3619720777324,76.69861751612903,146.12064836665724,True
TBD,TBD,vit_base_patch16_384.augreg_in21k_ft_in1k,384,86.006,,160.0,2095.8345604300425,76.349119856,145.513120212057,True
TBD,TBD,vit_base_patch16_384.orig_in21k_ft_in1k,384,84.208,,136.0,2093.5691956304336,64.96428128571428,144.02068674510605,True
TBD,TBD,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,86.21,,256.0,6486.583795776964,39.47356425833333,47.01281371813281,True
TBD,TBD,vit_base_patch16_clip_224.laion2b_ft_in1k,224,85.494,,320.0,6442.0982376382735,49.6805107486911,47.249977270921626,True
TBD,TBD,vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,85.962,,256.0,6463.858674844542,39.622415008333334,47.04321000969726,True
TBD,TBD,vit_base_patch16_clip_224.openai_ft_in1k,224,85.286,,256.0,6435.21890638782,39.79255395815899,47.07890436948517,True
TBD,TBD,vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,87.212,,128.0,2083.884621480639,61.431595662337664,146.58971893768063,True
TBD,TBD,vit_base_patch16_clip_384.laion2b_ft_in1k,384,86.638,,160.0,2109.147503834888,75.866839808,144.53044047231597,True
TBD,TBD,vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,87.028,,128.0,2098.33135717758,61.006137352564096,145.84574021281855,True
TBD,TBD,vit_base_patch16_clip_384.openai_ft_in1k,384,86.218,,208.0,2079.8156067451887,100.01845584210528,135.42611802901823,True
TBD,TBD,vit_base_patch16_rope_reg1_gap_256.sbb_in1k,256,83.89,,128.0,3619.702839591053,35.36309044029851,82.54387447579116,True
TBD,TBD,vit_base_patch16_rpn_224.sw_in1k,224,82.216,,576.0,6654.390131726524,86.5617523090909,45.26499254924826,True
TBD,TBD,vit_base_patch32_224.augreg_in1k,224,74.906,,2048.0,24819.485821712453,82.52370599130435,12.12660478832456,True
TBD,TBD,vit_base_patch32_224.augreg_in21k_ft_in1k,224,80.736,,2432.0,24586.42444487274,98.92353676041668,12.25341979653132,True
TBD,TBD,vit_base_patch32_224.sam_in1k,224,73.706,,2176.0,24670.27753123001,88.20935518518517,12.199673188657409,True
TBD,TBD,vit_base_patch32_384.augreg_in1k,384,78.754,,832.0,8081.939648423259,102.94948889130434,37.430170558787374,True
TBD,TBD,vit_base_patch32_384.augreg_in21k_ft_in1k,384,83.352,,320.0,7911.531206420378,40.45138635319149,38.37990084351715,True
TBD,TBD,vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,224,83.306,,1024.0,24442.047818133204,41.898234982300885,12.456020505810807,True
TBD,TBD,vit_base_patch32_clip_224.laion2b_ft_in1k,224,82.63,,1024.0,24432.13883941643,41.915029022123896,12.417795509790862,True
TBD,TBD,vit_base_patch32_clip_224.openai_ft_in1k,224,81.946,,1280.0,23961.704673601147,53.424060887640444,12.735271658866791,True
TBD,TBD,vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,384,85.41,,704.0,7968.590460560464,88.35135475,37.984838512235896,True
TBD,TBD,vit_base_patch32_clip_384.openai_ft_in12k_in1k,384,85.226,,512.0,8044.060792630237,63.65223458,37.525330482743755,True
TBD,TBD,vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,85.8,,272.0,5778.455315218596,47.08096090594059,52.30760746645421,True
TBD,TBD,vit_base_patch8_224.augreg2_in21k_ft_in1k,224,86.228,,160.0,1541.7309843371042,103.78901717391305,198.9001387293097,True
TBD,TBD,vit_base_patch8_224.augreg_in21k_ft_in1k,224,85.836,,64.0,1502.4586273148273,42.602050977578486,202.07192266177063,True
TBD,TBD,vit_base_r50_s16_384.orig_in21k_ft_in1k,384,84.994,,64.0,888.6723484663502,72.02484973282444,318.50653316656246,True
TBD,TBD,vit_betwixt_patch16_reg1_gap_256.sbb_in1k,256,83.644,,320.0,5949.952991401264,53.78521430508474,51.31446174676325,True
TBD,TBD,vit_betwixt_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,85.728,,448.0,5760.532544416937,77.78241560655738,52.991994992582875,True
TBD,TBD,vit_betwixt_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,85.424,,512.0,5833.580853144959,87.77944002777778,52.671142496925995,True
TBD,TBD,vit_betwixt_patch16_reg4_gap_256.sbb_in1k,256,83.708,,320.0,5811.367411746423,55.06898725,52.34073441299364,True
TBD,TBD,vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,86.602,,200.0,2561.780311858706,78.07583531147542,118.78982129943117,True
TBD,TBD,vit_betwixt_patch16_rope_reg4_gap_256.sbb_in1k,256,83.91,,256.0,4382.297751046014,58.41825058895706,67.87327725430286,True
TBD,TBD,vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,88.278,,72.0,802.4348911559902,89.73481535849056,379.7903221986374,True
TBD,TBD,vit_huge_patch14_clip_224.laion2b_ft_in1k,224,87.624,,64.0,807.7653736249111,79.24435911666666,379.4403391794714,True
TBD,TBD,vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,88.628,,32.0,347.28919440343793,92.14813383495147,879.34838099645,True
TBD,TBD,vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,87.898,,120.0,1549.4902452614665,77.4670659105691,196.39418004187058,True
TBD,TBD,vit_large_patch14_clip_224.laion2b_ft_in1k,224,87.298,,144.0,1551.6305897040083,92.81919497058824,197.1579749895084,True
TBD,TBD,vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,88.162,,80.0,1523.077868005965,52.53295813259669,200.81173195356007,True
TBD,TBD,vit_large_patch14_clip_224.openai_ft_in1k,224,87.86,,124.0,1540.313664422644,80.52142248305086,198.086883402934,True
TBD,TBD,vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,336,88.192,,64.0,686.6935901354176,93.20735842156864,444.1928619866008,True
TBD,TBD,vit_large_patch14_clip_336.laion2b_ft_in1k,336,87.866,,36.0,677.7653347385036,53.11975769832402,449.5723922508271,True
TBD,TBD,vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,88.264,,36.0,667.135603319509,53.9696739375,458.6675974726547,True
TBD,TBD,vit_large_patch16_224.augreg_in21k_ft_in1k,224,85.85,,68.0,2063.5328398557863,32.95418654861111,147.11274981166616,True
TBD,TBD,vit_large_patch16_384.augreg_in21k_ft_in1k,384,87.094,,64.0,689.4348660126798,92.83248956862745,442.20696862670803,True
TBD,TBD,vit_large_patch32_384.orig_in21k_ft_in1k,384,81.506,,256.0,2786.6652734591603,91.86972329126212,108.97314534890094,True
TBD,TBD,vit_large_r50_s32_224.augreg_in21k_ft_in1k,224,84.432,,512.0,3116.7466718082264,164.27932836842106,92.27126905985814,True
TBD,TBD,vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,86.184,,128.0,1010.882267147271,126.63065721333334,281.4435756958948,True
TBD,TBD,vit_little_patch16_reg1_gap_256.sbb_in12k_ft_in1k,256,83.802,,512.0,10198.761391527643,50.204386582010585,29.65039524362516,True
TBD,TBD,vit_little_patch16_reg4_gap_256.sbb_in1k,256,82.514,,352.0,10489.11786018216,33.55977354770317,28.72114256532043,True
